,AcademicYear,AggregateLevel,CountryCode,DistrictCode,SchoolCode,CountyName,DistrictName,SchoolName,CharterYN,CAR_RB,CAR_RI,CAR_RA,CAR_RF,CAR_RH,CAR_RD,CAR_RP,CAR_RT,CAR_RW,CAR_GM,CAR_GF,CAR_GX,CAR_GZ,CAR_SE,CAR_SD,CAR_SS,CAR_SM,CAR_SF,CAR_SH,CAR_TA
5347,2016-17,S,32,10322.0,100057.0,Plumas,Plumas County Office of Education,Plumas County Community,All,,,,,,,,,,,,,,,,,,,,
15366,2017-18,S,32,10322.0,100057.0,Plumas,Plumas County Office of Education,Plumas County Community,All,,,,,,,,,,,,,,,,,,,,
25368,2018-19,S,32,10322.0,100057.0,Plumas,Plumas County Office of Education,Plumas County Community,All,,,,,,,,,,,,,,,,,,,,90.0
196,2016-17,S,1,61259.0,100065.0,Alameda,Oakland Unified,Oakland Unity High,All,19.0,,,,14.1,17.4,,,,12.5,16.9,,,24.1,7.4,15.0,,,,14.7
10213,2017-18,S,1,61259.0,100065.0,Alameda,Oakland Unified,Oakland Unity High,All,31.3,,,,13.5,15.4,,,,12.4,16.6,,,16.7,8.3,15.0,,,,14.5
20225,2018-19,S,1,61259.0,100065.0,Alameda,Oakland Unified,Oakland Unity High,All,46.7,,,,9.6,,,,,9.7,12.6,,,11.9,12.5,10.9,,,,11.1
1873,2016-17,S,19,64246.0,100081.0,Los Angeles,Antelope Valley Union High,William J. (Pete) Knight High,All,21.1,,0.0,4.0,10.3,,,26.6,20.3,13.3,11.8,,,13.1,26.7,12.3,0.0,27.8,32.0,12.6
11898,2017-18,S,19,64246.0,100081.0,Los Angeles,Antelope Valley Union High,William J. (Pete) Knight High,All,22.3,,0.0,11.8,10.5,,,18.3,11.6,12.7,12.0,,,10.0,25.2,12.7,0.0,28.8,33.3,12.4
21905,2018-19,S,19,64246.0,100081.0,Los Angeles,Antelope Valley Union High,William J. (Pete) Knight High,All,14.9,9.1,3.4,4.2,8.8,,,19.1,19.0,9.4,10.9,,,8.2,18.2,10.4,0.0,23.8,11.1,10.2
4098,2016-17,S,20,75606.0,100180.0,Madera,Chawanakee Unified,Mountain Oaks High,All,,,,,,,,,,69.2,,,,,,66.7,,,,72.2
14114,2017-18,S,20,75606.0,100180.0,Madera,Chawanakee Unified,Mountain Oaks High,All,,,,,,,,,,15.4,,,,,,21.1,,,,21.1
24121,2018-19,S,20,75606.0,100180.0,Madera,Chawanakee Unified,Mountain Oaks High,All,,,,,,,,,,11.1,,,,,,20.0,,,,20.0
1549,2016-17,S,15,63529.0,100198.0,Kern,Kern High,Golden Valley High,All,16.8,7.7,8.6,5.6,7.8,30.8,,,13.2,8.9,8.9,,,14.4,19.5,8.8,11.9,16.2,27.3,8.9
11572,2017-18,S,15,63529.0,100198.0,Kern,Kern High,Golden Valley High,All,12.2,14.3,8.9,0.0,9.4,12.5,,,18.6,10.4,10.0,,,18.6,23.5,10.0,,20.0,18.2,10.2
21580,2018-19,S,15,63529.0,100198.0,Kern,Kern High,Golden Valley High,All,18.8,38.5,14.5,,11.4,,,,19.0,11.6,13.5,,,16.9,22.3,12.1,15.1,25.0,27.3,12.5
5733,2016-17,S,33,73676.0,100255.0,Riverside,Coachella Valley Unified,Desert Mirage High,All,,82.4,,,21.6,50.0,,,45.5,21.4,23.7,,,29.3,30.6,22.5,22.5,,42.4,22.6
15741,2017-18,S,33,73676.0,100255.0,Riverside,Coachella Valley Unified,Desert Mirage High,All,,57.9,,,20.1,42.1,,,,21.0,20.5,,,31.4,33.9,21.1,19.8,,68.8,20.8
25760,2018-19,S,33,73676.0,100255.0,Riverside,Coachella Valley Unified,Desert Mirage High,All,,52.4,,,21.7,,,,,23.1,20.9,,,32.5,32.9,22.1,19.4,,28.6,22.1
8699,2016-17,S,44,69765.0,100305.0,Santa Cruz,Live Oak Elementary,Cypress Charter High,All,,,,,13.8,,,,14.2,9.4,20.5,,,,15.8,17.1,,,,15.8
18720,2017-18,S,44,69765.0,100305.0,Santa Cruz,Live Oak Elementary,Cypress Charter High,All,,,,,23.3,,,,15.1,11.3,22.0,,,,0.0,17.9,,,,17.6
28754,2018-19,S,44,69765.0,100305.0,Santa Cruz,Live Oak Elementary,Cypress Charter High,All,,,,,18.5,,,,22.7,16.9,25.7,,,,38.5,28.3,,,,21.7
2207,2016-17,S,19,64592.0,100354.0,Los Angeles,Hawthorne,Hawthorne Math and Science Academy,All,0.0,,2.7,0.0,1.8,,,,3.8,1.8,1.3,,,0.0,4.3,1.6,,,,1.6
12228,2017-18,S,19,64592.0,100354.0,Los Angeles,Hawthorne,Hawthorne Math and Science Academy,All,1.2,,0.0,0.0,2.4,,,,0.0,0.4,3.0,,,3.0,12.5,1.7,,,,1.8
22235,2018-19,S,19,64592.0,100354.0,Los Angeles,Hawthorne,Hawthorne Math and Science Academy,All,1.2,,4.9,0.0,2.3,,,,0.0,1.5,2.5,,,2.6,7.7,2.2,,,,2.0
5809,2016-17,S,33,75200.0,100420.0,Riverside,Murrieta Valley Unified,Vista Murrieta High,All,7.4,,4.7,6.0,11.4,,11.9,6.6,9.6,8.7,10.0,,,14.3,16.8,13.3,,29.4,,9.4
15817,2017-18,S,33,75200.0,100420.0,Riverside,Murrieta Valley Unified,Vista Murrieta High,All,9.1,,6.9,6.3,10.9,,3.6,7.8,8.8,9.1,9.3,,,13.0,18.8,12.5,,45.5,32.0,9.2
25835,2018-19,S,33,75200.0,100420.0,Riverside,Murrieta Valley Unified,Vista Murrieta High,All,9.3,,4.8,1.8,9.1,,7.7,7.7,9.3,7.7,9.1,,,10.5,14.9,11.6,,8.3,22.7,8.4
1519,2016-17,S,15,63412.0,100529.0,Kern,Delano Joint Union High,Cesar E. Chavez High,All,,,0.0,0.8,10.6,,,,7.4,8.9,10.4,,,13.0,23.6,10.4,10.8,,25.9,9.7
11542,2017-18,S,15,63412.0,100529.0,Kern,Delano Joint Union High,Cesar E. Chavez High,All,,,6.3,2.2,9.9,,,,9.7,8.9,9.4,,,11.3,17.2,9.9,9.9,,15.0,9.2
21550,2018-19,S,15,63412.0,100529.0,Kern,Delano Joint Union High,Cesar E. Chavez High,All,,,0.0,4.4,10.5,,,,0.0,8.6,10.8,,,10.7,22.0,10.3,8.3,,16.7,9.6
2304,2016-17,S,19,64709.0,100602.0,Los Angeles,Lennox,"Lennox Mathematics, Science and Technology Academy",All,,,,,0.0,,,,,0.0,0.0,,,0.0,0.0,0.0,,,,0.0
12325,2017-18,S,19,64709.0,100602.0,Los Angeles,Lennox,"Lennox Mathematics, Science and Technology Academy",All,,,,,3.0,,,,,3.4,3.2,,,6.5,13.3,3.3,,,0.0,3.3
22331,2018-19,S,19,64709.0,100602.0,Los Angeles,Lennox,"Lennox Mathematics, Science and Technology Academy",All,,,,,4.1,15.4,,,,3.8,4.7,,,4.8,12.8,4.4,,,7.7,4.3
2411,2016-17,S,19,64733.0,100677.0,Los Angeles,Los Angeles Unified,High Tech LA,All,,,0.0,,5.0,13.7,,,10.5,6.0,11.3,,,,10.0,7.1,,,,7.8
12432,2017-18,S,19,64733.0,100677.0,Los Angeles,Los Angeles Unified,High Tech LA,All,,,0.0,,5.9,13.0,,0.0,9.0,7.2,8.4,,,0.0,12.2,8.5,,,,7.6
22438,2018-19,S,19,64733.0,100677.0,Los Angeles,Los Angeles Unified,High Tech LA,All,,,0.0,0.0,5.3,,,15.4,7.4,6.3,6.1,,,5.9,10.2,4.5,,,,6.2
198,2016-17,S,1,61259.0,100701.0,Alameda,Oakland Unified,MetWest High,All,8.7,,,,8.1,,,,,11.3,4.2,,,8.0,6.9,8.1,,,,7.4
10215,2017-18,S,1,61259.0,100701.0,Alameda,Oakland Unified,MetWest High,All,9.1,,0.0,,9.3,,,,25.0,7.0,11.2,,,0.0,7.1,9.6,,,,9.1
