00000000000000    202104State of California                                                                                                                                   00000
01000000000000    202105Alameda                                                                                                                                               00000
01100170000000    202106Alameda                                           Alameda County Office of Education                                                                  00000
01100170112607    202109Alameda                                           Envision Academy for Arts & Technology            Envision Academy for Arts & Technology            94612
01100170124172    202109Alameda                                           Yu Ming Charter                                   Yu Ming Charter                                   94608
01100170125567    202109Alameda                                           Urban Montessori Charter                          Urban Montessori Charter                          94619
01100170130401    202107Alameda                                           Alameda County Office of Education                Alameda County Juvenile Hall/Court                94578
01100170130419    202107Alameda                                           Alameda County Office of Education                Alameda County Community                          94544
01100170131581    202109Alameda                                           Oakland Unity Middle                              Oakland Unity Middle                              94621
01100170136101    202109Alameda                                           Connecting Waters Charter - East Bay              Connecting Waters Charter - East Bay              94587
01100170136226    202110Alameda                                           Alameda County Office of Education                Opportunity Academy                               94601
01100170137448    202109Alameda                                           Aurum Preparatory Academy                         Aurum Preparatory Academy                         94621
01100176001788    202109Alameda                                           Cox Academy                                       Cox Academy                                       94603
01100176002000    202109Alameda                                           Lazear Charter Academy                            Lazear Charter Academy                            94601
01316090000000    202106Alameda                                           California School for the Blind (State S                                                            00000
01316090131755    202107Alameda                                           California School for the Blind (State S          California School for the Blind                   94536
01316170000000    202106Alameda                                           California School for the Deaf-Fremont (                                                            00000
01316170131763    202107Alameda                                           California School for the Deaf-Fremont (          California School for the Deaf-Fremont            94538
01611190000000    202106Alameda                                           Alameda Unified                                                                                     00000
01611190106401    202107Alameda                                           Alameda Unified                                   Alameda Science and Technology Institute          94501
01611190111765    202107Alameda                                           Alameda Unified                                   Ruby Bridges Elementary                           94501
01611190119222    202109Alameda                                           Nea Community Learning Center                     Nea Community Learning Center                     94501
01611190122085    202109Alameda                                           The Academy of Alameda                            The Academy of Alameda                            94501
01611190130229    202107Alameda                                           Alameda Unified                                   Alameda High                                      94501
01611190130609    202109Alameda                                           Alameda Community Learning Center                 Alameda Community Learning Center                 94501
01611190130625    202109Alameda                                           Alternatives in Action                            Alternatives in Action                            94621
01611190131805    202109Alameda                                           The Academy of Alameda Elementary                 The Academy of Alameda Elementary                 94501
01611190132142    202107Alameda                                           Alameda Unified                                   Encinal Junior/Senior High                        94501
01611190134304    202107Alameda                                           Alameda Unified                                   Island High (Continuation)                        94501
01611190139220    202107Alameda                                           Alameda Unified                                   Maya Lin                                          94501
01611190161119    202107Alameda                                           Alameda Unified                                   Alameda Unified District Level Program            94501
01611196090013    202107Alameda                                           Alameda Unified                                   Edison Elementary                                 94501
01611196090021    202107Alameda                                           Alameda Unified                                   Frank Otis Elementary                             94501
01611196090039    202107Alameda                                           Alameda Unified                                   Franklin Elementary                               94501
01611196090047    202107Alameda                                           Alameda Unified                                   Love Elementary                                   94501
01611196090054    202107Alameda                                           Alameda Unified                                   Lincoln Middle                                    94501
01611196090112    202107Alameda                                           Alameda Unified                                   Will C. Wood Middle                               94501
01611196090120    202107Alameda                                           Alameda Unified                                   William G. Paden Elementary                       94501
01611196100374    202107Alameda                                           Alameda Unified                                   Amelia Earhart Elementary                         94502
01611196110779    202107Alameda                                           Alameda Unified                                   Bay Farm                                          94502
01611270000000    202106Alameda                                           Albany City Unified                                                                                 00000
01611270130294    202107Alameda                                           Albany City Unified                               MacGregor High (Continuation)                     94706
01611270130450    202107Alameda                                           Albany City Unified                               Albany High                                       94706
01611270161127    202107Alameda                                           Albany City Unified                               Albany City Unified District Level Program        94710
01611276090146    202107Alameda                                           Albany City Unified                               Cornell Elementary                                94706
01611276090161    202107Alameda                                           Albany City Unified                               Albany Middle                                     94706
01611276095376    202107Alameda                                           Albany City Unified                               Marin Elementary                                  94706
01611276116222    202107Alameda                                           Albany City Unified                               Ocean View Elementary                             94706
01611430000000    202106Alameda                                           Berkeley Unified                                                                                    00000
01611430131177    202107Alameda                                           Berkeley Unified                                  Berkeley High                                     94704
01611430134924    202107Alameda                                           Berkeley Unified                                  Berkeley Technology Academy                       94704
01611430161143    202107Alameda                                           Berkeley Unified                                  Berkeley Unified District Level Program           94702
01611436056857    202107Alameda                                           Berkeley Unified                                  Martin Luther King Middle                         94703
01611436056865    202107Alameda                                           Berkeley Unified                                  Willard Middle                                    94705
01611436090187    202107Alameda                                           Berkeley Unified                                  Rosa Parks Environmental Science                  94710
01611436090195    202107Alameda                                           Berkeley Unified                                  Cragmont Elementary                               94708
01611436090211    202107Alameda                                           Berkeley Unified                                  Emerson Elementary                                94705
01611436090252    202107Alameda                                           Berkeley Unified                                  Ruth Acty Elementary                              94702
01611436090278    202107Alameda                                           Berkeley Unified                                  Sylvia Mendez Elementary                          94705
01611436090286    202107Alameda                                           Berkeley Unified                                  Malcolm X Elementary                              94703
01611436090294    202107Alameda                                           Berkeley Unified                                  Longfellow Arts and Technology Middle             94703
01611436090302    202107Alameda                                           Berkeley Unified                                  Oxford Elementary at West Campus                  94702
01611436090310    202107Alameda                                           Berkeley Unified                                  Thousand Oaks Elementary                          94707
01611436090328    202107Alameda                                           Berkeley Unified                                  Washington Elementary                             94704
01611436097729    202107Alameda                                           Berkeley Unified                                  Berkeley Arts Magnet at Whittier                  94709
01611436105316    202107Alameda                                           Berkeley Unified                                  John Muir Elementary                              94705
01611500000000    202106Alameda                                           Castro Valley Unified                                                                               00000
01611500132225    202107Alameda                                           Castro Valley Unified                             Castro Valley High                                94546
01611500133876    202107Alameda                                           Castro Valley Unified                             Castro Valley Virtual Academy                     94546
01611500135533    202107Alameda                                           Castro Valley Unified                             Redwood Continuation High                         94546
01611500161150    202107Alameda                                           Castro Valley Unified                             Castro Valley Unified District Level Program      94546
01611506090351    202107Alameda                                           Castro Valley Unified                             Castro Valley Elementary                          94546
01611506090369    202107Alameda                                           Castro Valley Unified                             Chabot Elementary                                 94546
01611506090385    202107Alameda                                           Castro Valley Unified                             Creekside Middle                                  94546
01611506090393    202107Alameda                                           Castro Valley Unified                             Independent Elementary                            94552
01611506090401    202107Alameda                                           Castro Valley Unified                             Marshall Elementary                               94546
01611506090419    202107Alameda                                           Castro Valley Unified                             Palomares Elementary                              94552
01611506090435    202107Alameda                                           Castro Valley Unified                             Proctor Elementary                                94546
01611506090468    202107Alameda                                           Castro Valley Unified                             Stanton Elementary                                94546
01611506090484    202107Alameda                                           Castro Valley Unified                             Vannoy Elementary                                 94546
01611506097653    202107Alameda                                           Castro Valley Unified                             Canyon Middle                                     94552
01611506113005    202107Alameda                                           Castro Valley Unified                             Jensen Ranch Elementary                           94552
01611680000000    202106Alameda                                           Emery Unified                                                                                       00000
01611680132746    202107Alameda                                           Emery Unified                                     Emery Secondary                                   94608
01611686090492    202107Alameda                                           Emery Unified                                     Anna Yates Elementary                             94608
01611760000000    202106Alameda                                           Fremont Unified                                                                                     00000
01611760130062    202107Alameda                                           Fremont Unified                                   American High                                     94536
01611760130138    202107Alameda                                           Fremont Unified                                   Robertson High (Continuation)                     94538
01611760130435    202107Alameda                                           Fremont Unified                                   Vista Alternative                                 94538
01611760130534    202110Alameda                                           Fremont Unified                                   Circle of Independent Learning                    94538
01611760134270    202107Alameda                                           Fremont Unified                                   Irvington High                                    94538
01611760134452    202107Alameda                                           Fremont Unified                                   John F. Kennedy High                              94538
01611760135244    202107Alameda                                           Fremont Unified                                   Mission San Jose High                             94539
01611760138693    202107Alameda                                           Fremont Unified                                   Washington High                                   94536
01611760161176    202107Alameda                                           Fremont Unified                                   Fremont Unified District Level Program            94538
01611766000541    202107Alameda                                           Fremont Unified                                   John Blacow Elementary                            94538
01611766000558    202107Alameda                                           Fremont Unified                                   Brier Elementary                                  94538
01611766000566    202107Alameda                                           Fremont Unified                                   Cabrillo Elementary                               94536
01611766000590    202107Alameda                                           Fremont Unified                                   E. M. Grimmer Elementary                          94538
01611766000624    202107Alameda                                           Fremont Unified                                   Glenmoor Elementary                               94536
01611766000640    202107Alameda                                           Fremont Unified                                   Harvey Green Elementary                           94538
01611766000665    202107Alameda                                           Fremont Unified                                   J. Haley Durham Elementary                        94538
01611766000681    202107Alameda                                           Fremont Unified                                   Joseph Azevada Elementary                         94538
01611766000715    202107Alameda                                           Fremont Unified                                   Tom Maloney Elementary                            94536
01611766000723    202107Alameda                                           Fremont Unified                                   John G. Mattos Elementary                         94536
01611766000749    202107Alameda                                           Fremont Unified                                   Mission Valley Elementary                         94539
01611766000756    202107Alameda                                           Fremont Unified                                   Niles Elementary                                  94536
01611766000764    202107Alameda                                           Fremont Unified                                   O. N. Hirsch Elementary                           94538
01611766000798    202107Alameda                                           Fremont Unified                                   Parkmont Elementary                               94536
01611766000806    202107Alameda                                           Fremont Unified                                   Patterson Elementary                              94536
01611766000830    202107Alameda                                           Fremont Unified                                   Vallejo Mill Elementary                           94536
01611766000848    202107Alameda                                           Fremont Unified                                   Warm Springs Elementary                           94539
01611766056873    202107Alameda                                           Fremont Unified                                   Centerville Junior High                           94536
01611766056881    202107Alameda                                           Fremont Unified                                   G. M. Walters Middle                              94538
01611766056907    202107Alameda                                           Fremont Unified                                   John M. Horner Middle                             94538
01611766056915    202107Alameda                                           Fremont Unified                                   Thornton Junior High                              94536
01611766056923    202107Alameda                                           Fremont Unified                                   William Hopkins Junior High                       94539
01611766066468    202107Alameda                                           Fremont Unified                                   John Gomes Elementary                             94539
01611766089320    202107Alameda                                           Fremont Unified                                   Brookvale Elementary                              94536
01611766089619    202107Alameda                                           Fremont Unified                                   Warwick Elementary                                94555
01611766090526    202107Alameda                                           Fremont Unified                                   Joshua Chadbourne Elementary                      94539
01611766090534    202107Alameda                                           Fremont Unified                                   Mission San Jose Elementary                       94539
01611766090542    202107Alameda                                           Fremont Unified                                   Oliveira Elementary                               94536
01611766090559    202107Alameda                                           Fremont Unified                                   Steven Millard Elementary                         94538
01611766104723    202107Alameda                                           Fremont Unified                                   Ardenwood Elementary                              94555
01611766106983    202107Alameda                                           Fremont Unified                                   Fred E. Weibel Elementary                         94539
01611766111330    202107Alameda                                           Fremont Unified                                   Forest Park Elementary                            94555
01611920000000    202106Alameda                                           Hayward Unified                                                                                     00000
01611920108670    202109Alameda                                           Leadership Public Schools - Hayward               Leadership Public Schools - Hayward               94545
01611920111815    202107Alameda                                           Hayward Unified                                   Stonebrae Elementary                              94542
01611920127696    202109Alameda                                           Knowledge Enlightens You (KEY) Academy            Knowledge Enlightens You (KEY) Academy            94541
01611920127944    202109Alameda                                           Hayward Twin Oaks Montessori                      Hayward Twin Oaks Montessori                      94541
01611920131334    202107Alameda                                           Hayward Unified                                   Highland                                          94540
01611920133009    202107Alameda                                           Hayward Unified                                   Brenkwitz High                                    94541
01611920133629    202107Alameda                                           Hayward Unified                                   Hayward High                                      94541
01611920135319    202107Alameda                                           Hayward Unified                                   Mt. Eden High                                     94545
01611920137646    202109Alameda                                           Impact Academy of Arts & Technology               Impact Academy of Arts & Technology               94545
01611920138339    202107Alameda                                           Hayward Unified                                   Tennyson High                                     94544
01611920161192    202107Alameda                                           Hayward Unified                                   Hayward Unified District Level Program            94544
01611926000889    202107Alameda                                           Hayward Unified                                   Bowman Elementary                                 94544
01611926000905    202107Alameda                                           Hayward Unified                                   Burbank Elementary                                94541
01611926000913    202107Alameda                                           Hayward Unified                                   Cherryland Elementary                             94541
01611926000921    202107Alameda                                           Hayward Unified                                   East Avenue Elementary                            94541
01611926000947    202107Alameda                                           Hayward Unified                                   Eldridge Elementary                               94544
01611926000962    202107Alameda                                           Hayward Unified                                   Fairview Elementary                               94541
01611926000988    202107Alameda                                           Hayward Unified                                   Glassbrook Elementary                             94544
01611926000996    202107Alameda                                           Hayward Unified                                   Harder Elementary                                 94541
01611926001044    202107Alameda                                           Hayward Unified                                   Longwood Elementary                               94541
01611926001051    202107Alameda                                           Hayward Unified                                   Lorin A. Eden Elementary                          94545
01611926001093    202107Alameda                                           Hayward Unified                                   Palma Ceia Elementary                             94545
01611926001101    202107Alameda                                           Hayward Unified                                   Park Elementary                                   94540
01611926001127    202107Alameda                                           Hayward Unified                                   Ruus Elementary                                   94540
01611926001135    202107Alameda                                           Hayward Unified                                   Schafer Park Elementary                           94544
01611926001176    202107Alameda                                           Hayward Unified                                   Southgate Elementary                              94545
01611926001192    202107Alameda                                           Hayward Unified                                   Treeview Elementary                               94544
01611926056931    202107Alameda                                           Hayward Unified                                   Bret Harte Middle                                 94540
01611926056949    202107Alameda                                           Hayward Unified                                   Cesar Chavez Middle                               94544
01611926056956    202107Alameda                                           Hayward Unified                                   Anthony W. Ochoa Middle                           94545
01611926056972    202107Alameda                                           Hayward Unified                                   Winton Middle                                     94540
01611926062160    202107Alameda                                           Hayward Unified                                   Strobridge Elementary                             94546
01611926066476    202107Alameda                                           Hayward Unified                                   Martin Luther King, Jr. Middle                    94545
01611926090583    202107Alameda                                           Hayward Unified                                   Eden Gardens Elementary                           94545
01611926104566    202107Alameda                                           Hayward Unified                                   Tyrrell Elementary                                94540
01611926113815    202107Alameda                                           Hayward Unified                                   Faith Ringgold School of Arts and Science         94541
01612000000000    202106Alameda                                           Livermore Valley Joint Unified                                                                      00000
